,Unnamed: 0,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,day,hour
0,0,spring,0,0,good,cold,14.395,Moist,No wind,3.0,13.0,16.0,2011,1,1,0
1,1,spring,0,0,good,cold,13.635,Moist,No wind,8.0,32.0,40.0,2011,1,1,1
2,2,spring,0,0,good,cold,13.635,Moist,No wind,5.0,27.0,32.0,2011,1,1,2
3,3,spring,0,0,good,cold,14.395,Normal humidity,No wind,3.0,10.0,13.0,2011,1,1,3
4,4,spring,0,0,good,cold,14.395,Normal humidity,No wind,0.0,1.0,1.0,2011,1,1,4
5,5,spring,0,0,normal,cold,12.88,Normal humidity,Strong wind,0.0,1.0,1.0,2011,1,1,5
6,6,spring,0,0,good,cold,13.635,Moist,No wind,2.0,0.0,2.0,2011,1,1,6
7,7,spring,0,0,good,cold,12.88,Moist,No wind,1.0,2.0,3.0,2011,1,1,7
8,8,spring,0,0,good,cold,14.395,Normal humidity,No wind,1.0,7.0,8.0,2011,1,1,8
9,9,spring,0,0,good,Normal temperature,17.425,Normal humidity,No wind,8.0,6.0,14.0,2011,1,1,9
10,10,spring,0,0,good,Normal temperature,19.695,Normal humidity,Strong wind,12.0,24.0,36.0,2011,1,1,10
11,11,spring,0,0,good,Normal temperature,16.665,Moist,Strong wind,26.0,30.0,56.0,2011,1,1,11
12,12,spring,0,0,good,Normal temperature,21.21,Normal humidity,Strong wind,29.0,55.0,84.0,2011,1,1,12
13,13,spring,0,0,normal,Normal temperature,22.725,Normal humidity,Strong wind,47.0,47.0,94.0,2011,1,1,13
14,14,spring,0,0,normal,Normal temperature,22.725,Normal humidity,Strong wind,35.0,71.0,106.0,2011,1,1,14
15,15,spring,0,0,normal,Normal temperature,21.97,Normal humidity,Strong wind,40.0,70.0,110.0,2011,1,1,15
16,16,spring,0,0,normal,Normal temperature,21.21,Moist,Strong wind,41.0,52.0,93.0,2011,1,1,16
17,17,spring,0,0,normal,Normal temperature,21.97,Moist,Strong wind,15.0,52.0,67.0,2011,1,1,17
