,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,day,hour
0,1,0,0,1,9.84,14.395,81,0.0,3,13,16,2011,1,1,0
1,1,0,0,1,9.02,13.635,80,0.0,8,32,40,2011,1,1,1
2,1,0,0,1,9.02,13.635,80,0.0,5,27,32,2011,1,1,2
3,1,0,0,1,9.84,14.395,75,0.0,3,10,13,2011,1,1,3
4,1,0,0,1,9.84,14.395,75,0.0,0,1,1,2011,1,1,4
5,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,2011,1,1,5
6,1,0,0,1,9.02,13.635,80,0.0,2,0,2,2011,1,1,6
7,1,0,0,1,8.2,12.88,86,0.0,1,2,3,2011,1,1,7
8,1,0,0,1,9.84,14.395,75,0.0,1,7,8,2011,1,1,8
9,1,0,0,1,13.12,17.425,76,0.0,8,6,14,2011,1,1,9
10,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,2011,1,1,10
11,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,2011,1,1,11
12,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,2011,1,1,12
13,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,2011,1,1,13
14,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,2011,1,1,14
15,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,2011,1,1,15
16,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,2011,1,1,16
17,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,2011,1,1,17
18,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,2011,1,1,18
19,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,2011,1,1,19
20,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,2011,1,1,20
21,1,0,0,2,16.4,20.455,87,12.998,3,31,34,2011,1,1,21
22,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,2011,1,1,22
23,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,2011,1,1,23
24,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,2011,1,2,0
25,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,2011,1,2,1
26,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,2011,1,2,2
27,1,0,0,2,18.86,22.725,94,12.998,2,4,6,2011,1,2,3
28,1,0,0,2,18.86,22.725,94,12.998,2,1,3,2011,1,2,4
29,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,2011,1,2,6
30,1,0,0,2,16.4,20.455,76,12.998,0,1,1,2011,1,2,7
31,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,2011,1,2,8
32,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,2011,1,2,9
33,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,2011,1,2,10
34,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,2011,1,2,11
35,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,2011,1,2,12
36,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,2011,1,2,13
37,1,0,0,3,14.76,17.425,76,12.998,4,55,59,2011,1,2,14
38,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,2011,1,2,15
39,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,2011,1,2,16
